KNN Line Recall scores
KNN k=22: [np.float64(0.6040307548928239), np.float64(0.7329268904611371), np.float64(0.6811450744377574), np.float64(0.6987754254877542), np.float64(0.7227887318164098), np.float64(0.7391408235377497), np.float64(0.7479823455233292), np.float64(0.7331658555635664), np.float64(0.7345976458438465), np.float64(0.7155340103166304), np.float64(0.7251234269407181), np.float64(0.713860971987278), np.float64(0.717099508281782), np.float64(0.6973033376679116), np.float64(0.6771623899839007), np.float64(0.6979614031840059), np.float64(0.693951842766301), np.float64(0.6987547509056762), np.float64(0.427297089634752)]
KNN k=23: [np.float64(0.5641355641355641), np.float64(0.7149659365614242), np.float64(0.6906614033050815), np.float64(0.6987754254877542), np.float64(0.7199661168967064), np.float64(0.7314761521046775), np.float64(0.7337105347938144), np.float64(0.7487135964566909), np.float64(0.7345976458438465), np.float64(0.7155340103166304), np.float64(0.7288983749053087), np.float64(0.7206048666352364), np.float64(0.731857892289198), np.float64(0.6952782126946373), np.float64(0.6717944253195851), np.float64(0.6916025145078983), np.float64(0.6992766373411534), np.float64(0.6994465199944653), np.float64(0.427297089634752)]
KNN k=24: [np.float64(0.6040307548928239), np.float64(0.7329268904611371), np.float64(0.6811450744377574), np.float64(0.6979892654009453), np.float64(0.7182960040313502), np.float64(0.7459338435878505), np.float64(0.7479823455233292), np.float64(0.7418555082005438), np.float64(0.7378572671833735), np.float64(0.7231301529202346), np.float64(0.7288983749053087), np.float64(0.7103736896209841), np.float64(0.729181051016494), np.float64(0.7079501536152825), np.float64(0.6770670516535144), np.float64(0.695769106130101), np.float64(0.7044458659307684), np.float64(0.6901162473394095), np.float64(0.427297089634752)]
KNN k=25: [np.float64(0.6040307548928239), np.float64(0.7329268904611371), np.float64(0.7), np.float64(0.7062759630310215), np.float64(0.7199661168967064), np.float64(0.747338358866283), np.float64(0.7572030002101724), np.float64(0.7487135964566909), np.float64(0.7488790992484156), np.float64(0.7373449802029763), np.float64(0.7327497229149349), np.float64(0.7129634992807978), np.float64(0.7299592120884865), np.float64(0.6973033376679116), np.float64(0.6728818548249839), np.float64(0.6811574877204176), np.float64(0.6975436381416783), np.float64(0.6874253486158945), np.float64(0.427297089634752)]
KNN k=26: [np.float64(0.6040307548928239), np.float64(0.7201473248901524), np.float64(0.6841908091908093), np.float64(0.7075333650676116), np.float64(0.731346964157437), np.float64(0.760319033886085), np.float64(0.7428051503844414), np.float64(0.7418555082005438), np.float64(0.731599472386305), np.float64(0.7147270517215476), np.float64(0.7208715768562712), np.float64(0.7185032646577995), np.float64(0.7272145290629288), np.float64(0.7031410681472948), np.float64(0.6849418394104532), np.float64(0.6853367130287185), np.float64(0.6902110478600042), np.float64(0.6875076011365773), np.float64(0.427297089634752)]
KNN k=27: [np.float64(0.6040307548928239), np.float64(0.7071216854922695), np.float64(0.6977540106951872), np.float64(0.6924071604638946), np.float64(0.7389085561788573), np.float64(0.7537206663487312), np.float64(0.7507934408886539), np.float64(0.7452999527633444), np.float64(0.726655259633983), np.float64(0.7236494970752045), np.float64(0.7221186651776843), np.float64(0.722483391276492), np.float64(0.7309742938961348), np.float64(0.7052211505586713), np.float64(0.6824770701023246), np.float64(0.6832073101879802), np.float64(0.690579463810523), np.float64(0.6813303524982042), np.float64(0.427297089634752)]
KNN k=28: [np.float64(0.6040307548928239), np.float64(0.7071216854922695), np.float64(0.6744385026737968), np.float64(0.7018520187454939), np.float64(0.7333615692527446), np.float64(0.7511495855524609), np.float64(0.7525780189959295), np.float64(0.7348632437988005), np.float64(0.736674513030296), np.float64(0.7141175688256417), np.float64(0.7315319717679355), np.float64(0.7189741473350904), np.float64(0.72529759555076), np.float64(0.705328051411154), np.float64(0.6845370664304413), np.float64(0.6895980310953364), np.float64(0.7025127103786816), np.float64(0.6495895262484882), np.float64(0.427297089634752)]
KNN k=29: [np.float64(0.5688545688545688), np.float64(0.6937456759374567), np.float64(0.6977540106951872), np.float64(0.7093385056774559), np.float64(0.7496245557720967), np.float64(0.7715726721674812), np.float64(0.7661579241071428), np.float64(0.7348632437988005), np.float64(0.736674513030296), np.float64(0.7171683879686764), np.float64(0.7274790067052669), np.float64(0.7155312598549884), np.float64(0.7299369217407979), np.float64(0.7097525328841437), np.float64(0.6818324559577058), np.float64(0.6917749534865696), np.float64(0.69539051542777), np.float64(0.6324763128849306), np.float64(0.427297089634752)]
KNN k=30: [np.float64(0.5688545688545688), np.float64(0.7071216854922695), np.float64(0.6744385026737968), np.float64(0.7018520187454939), np.float64(0.7333470906343128), np.float64(0.7511495855524609), np.float64(0.7486356057480748), np.float64(0.7277130591505483), np.float64(0.7168746440221613), np.float64(0.7228416582752266), np.float64(0.7355502937381575), np.float64(0.7069528512265053), np.float64(0.7081181434599156), np.float64(0.7121915163695985), np.float64(0.6840229850929208), np.float64(0.6876680864463564), np.float64(0.6996454386899087), np.float64(0.605198454513523), np.float64(0.427297089634752)]
KNN k=31: [np.float64(0.5688545688545688), np.float64(0.6937456759374567), np.float64(0.7122093023255814), np.float64(0.6924071604638946), np.float64(0.7277517564402811), np.float64(0.7715726721674812), np.float64(0.7661579241071428), np.float64(0.7498590334671134), np.float64(0.7388173116182009), np.float64(0.7231301529202346), np.float64(0.7314715117421973), np.float64(0.6884495641344955), np.float64(0.7192366133358902), np.float64(0.7097979783117284), np.float64(0.6792975204882886), np.float64(0.6896773145961266), np.float64(0.6942751186278352), np.float64(0.5890832177489477), np.float64(0.427297089634752)]
KNN k=32: [np.float64(0.5688545688545688), np.float64(0.6937456759374567), np.float64(0.6744385026737968), np.float64(0.7190917147320356), np.float64(0.7277517564402811), np.float64(0.7785399424761466), np.float64(0.7525780189959295), np.float64(0.7277130591505483), np.float64(0.7252120994457486), np.float64(0.7315332541189217), np.float64(0.723488823952389), np.float64(0.6982639879654761), np.float64(0.7053029174846003), np.float64(0.7074751414819909), np.float64(0.6769156319538081), np.float64(0.6966280441576681), np.float64(0.6994547583161767), np.float64(0.5768951935770088), np.float64(0.427297089634752)]
KNN k=33: [np.float64(0.5688545688545688), np.float64(0.6937456759374567), np.float64(0.693698347107438), np.float64(0.6924071604638946), np.float64(0.7333470906343128), np.float64(0.7698735107332177), np.float64(0.74681640625), np.float64(0.7396081501820609), np.float64(0.7325760307729294), np.float64(0.7260468597948949), np.float64(0.7261740385877412), np.float64(0.7016604567684205), np.float64(0.7174545574817733), np.float64(0.7124839539205672), np.float64(0.6863285333300198), np.float64(0.6964040061705135), np.float64(0.6923247315168292), np.float64(0.5534045124899275), np.float64(0.427297089634752)]
KNN k=34: [np.float64(0.5688545688545688), np.float64(0.6937456759374567), np.float64(0.678524374176548), np.float64(0.7117754423716113), np.float64(0.7388503763648805), np.float64(0.761048683715138), np.float64(0.74681640625), np.float64(0.7396081501820609), np.float64(0.7303906001905367), np.float64(0.725781452385634), np.float64(0.719401597221521), np.float64(0.7069994021953422), np.float64(0.7060757261179202), np.float64(0.7146188078993052), np.float64(0.6792799329152975), np.float64(0.6978956060192488), np.float64(0.6955737078982176), np.float64(0.5571213213606869), np.float64(0.427297089634752)]
KNN k=35: [np.float64(0.5688545688545688), np.float64(0.7071216854922695), np.float64(0.668388429752066), np.float64(0.7018520187454939), np.float64(0.7478043954576629), np.float64(0.7565627752532791), np.float64(0.7603663878603544), np.float64(0.7289618476168912), np.float64(0.7388173116182009), np.float64(0.7286777275322002), np.float64(0.7261740385877412), np.float64(0.7006524974243523), np.float64(0.7095538129191589), np.float64(0.7129547257126019), np.float64(0.6769211533055097), np.float64(0.693279273142456), np.float64(0.6879245945787716), np.float64(0.561039639487515), np.float64(0.427297089634752)]
